DATE;2021.05.25
TIME;13:49:39
T_SOURCE[C];24.1
CURRENT[mA];498
PULSE_DURATION[us];10
PULSE_PERIOD[us];1200
POWER[uW];36.09393036135406
POWER COMP.[uW];36.53333138299381
SNR;534.9092989557934
RiseTime[ns];257.0
FallTime[ns];693.7328620529788
T[us];0.0;0.1;0.2;0.30000000000000004;0.4;0.5;0.6;0.7;0.7999999999999999;0.8999999999999999;0.9999999999999999;1.0999999999999999;1.2;1.3;1.4000000000000001;1.5000000000000002;1.6000000000000003;1.7000000000000004;1.8000000000000005;1.9000000000000006;2.0000000000000004;2.1000000000000005;2.2000000000000006;2.3000000000000007;2.400000000000001;2.500000000000001;2.600000000000001;2.700000000000001;2.800000000000001;2.9000000000000012;3.0000000000000013;3.1000000000000014;3.2000000000000015;3.3000000000000016;3.4000000000000017;3.5000000000000018;3.600000000000002;3.700000000000002;3.800000000000002;3.900000000000002;4.000000000000002;4.100000000000001;4.200000000000001;4.300000000000001;4.4;4.5;4.6;4.699999999999999;4.799999999999999;4.899999999999999;4.999999999999998;5.099999999999998;5.1999999999999975;5.299999999999997;5.399999999999997;5.4999999999999964;5.599999999999996;5.699999999999996;5.799999999999995;5.899999999999995;5.999999999999995;6.099999999999994;6.199999999999994;6.299999999999994;6.399999999999993;6.499999999999993;6.5999999999999925;6.699999999999992;6.799999999999992;6.8999999999999915;6.999999999999991;7.099999999999991;7.19999999999999;7.29999999999999;7.39999999999999;7.499999999999989;7.599999999999989;7.699999999999989;7.799999999999988;7.899999999999988;7.999999999999988;8.099999999999987;8.199999999999987;8.299999999999986;8.399999999999986;8.499999999999986;8.599999999999985;8.699999999999985;8.799999999999985;8.899999999999984;8.999999999999984;9.099999999999984;9.199999999999983;9.299999999999983;9.399999999999983;9.499999999999982;9.599999999999982;9.699999999999982;9.799999999999981;9.89999999999998;9.99999999999998;10.09999999999998;10.19999999999998;10.29999999999998;10.399999999999979;10.499999999999979;10.599999999999978;10.699999999999978;10.799999999999978;10.899999999999977;10.999999999999977;11.099999999999977;11.199999999999976;11.299999999999976;11.399999999999975;11.499999999999975;11.599999999999975;11.699999999999974;11.799999999999974;11.899999999999974;11.999999999999973;12.099999999999973;12.199999999999973;12.299999999999972;12.399999999999972;12.499999999999972;12.599999999999971;12.69999999999997;12.79999999999997;12.89999999999997;12.99999999999997;13.09999999999997;13.199999999999969;13.299999999999969;13.399999999999968;13.499999999999968;13.599999999999968;13.699999999999967;13.799999999999967;13.899999999999967;13.999999999999966;14.099999999999966;14.199999999999966;14.299999999999965;14.399999999999965;14.499999999999964;14.599999999999964;14.699999999999964;14.799999999999963;14.899999999999963;14.999999999999963;15.099999999999962;15.199999999999962;15.299999999999962;15.399999999999961;15.499999999999961;15.59999999999996;15.69999999999996;15.79999999999996;15.89999999999996;15.99999999999996;16.09999999999996;16.19999999999996;16.29999999999996;16.399999999999963;16.499999999999964;16.599999999999966;16.699999999999967;16.79999999999997;16.89999999999997;16.99999999999997;17.099999999999973;17.199999999999974;17.299999999999976;17.399999999999977;17.49999999999998;17.59999999999998;17.69999999999998;17.799999999999983;17.899999999999984;17.999999999999986;18.099999999999987;18.19999999999999;18.29999999999999;18.39999999999999;18.499999999999993;18.599999999999994;18.699999999999996;18.799999999999997;18.9;19.0;19.1;19.200000000000003;19.300000000000004;19.400000000000006;19.500000000000007;19.60000000000001;19.70000000000001;19.80000000000001;19.900000000000013;
RD[0];0.04302;0.042781;0.043498;0.042781;0.041825;0.044454;0.043976;0.043498;0.042781;0.043737000000000005;0.042542;0.04302;0.04302;0.041108;0.042781;0.041108;0.043976;0.043498;0.044215000000000004;0.043498;0.043259;0.043737000000000005;0.042303;0.04302;0.042303;0.043737000000000005;0.041825;0.043259;0.044693000000000004;0.044215000000000004;0.044454;0.042303;0.043259;0.042064000000000004;0.042303;0.041347;0.040869;0.04302;0.04302;0.042064000000000004;0.039913000000000004;0.042542;0.042542;0.042303;0.042542;0.042303;0.042064000000000004;0.042542;0.043737000000000005;0.041825;0.044932;0.042064000000000004;0.042064000000000004;0.044693000000000004;0.069788;0.107311;0.114481;0.11734900000000001;0.119261;0.119022;0.120217;0.119261;0.12165100000000001;0.122129;0.121412;0.120934;0.12189;0.120934;0.120217;0.121173;0.120217;0.12284600000000001;0.12260700000000001;0.122368;0.122368;0.122368;0.123085;0.122368;0.122129;0.121412;0.119739;0.121412;0.12045600000000001;0.123085;0.12069500000000001;0.123085;0.12189;0.123563;0.12189;0.122129;0.12499700000000001;0.12189;0.121173;0.123324;0.122129;0.12189;0.12428;0.122368;0.123324;0.12260700000000001;0.12260700000000001;0.12380200000000001;0.12428;0.12284600000000001;0.12499700000000001;0.12260700000000001;0.12284600000000001;0.121412;0.12284600000000001;0.124041;0.12260700000000001;0.123563;0.123563;0.123563;0.124519;0.123324;0.123563;0.12380200000000001;0.123324;0.12428;0.123563;0.12380200000000001;0.122368;0.12475800000000001;0.12165100000000001;0.123324;0.122129;0.12475800000000001;0.12260700000000001;0.12762600000000002;0.123324;0.124041;0.123563;0.125475;0.12499700000000001;0.12260700000000001;0.12380200000000001;0.125714;0.12260700000000001;0.12499700000000001;0.123563;0.12499700000000001;0.120934;0.12475800000000001;0.12260700000000001;0.126192;0.12499700000000001;0.12284600000000001;0.12499700000000001;0.12428;0.12284600000000001;0.12499700000000001;0.12499700000000001;0.12069500000000001;0.085562;0.067398;0.059033;0.057121000000000005;0.053536;0.052102;0.05258;0.050907;0.05019;0.048517000000000005;0.049712;0.049712;0.049473;0.047322;0.047561;0.048517000000000005;0.046605;0.047561;0.046605;0.046605;0.046605;0.046844000000000004;0.046844000000000004;0.046366000000000004;0.047322;0.045649;0.046366000000000004;0.04541;0.048039;0.048039;0.046605;0.046127;0.045888;0.0478;0.046605;0.046366000000000004;0.048517000000000005;0.046366000000000004;0.046366000000000004;0.04541;0.046127;0.044693000000000004;0.046844000000000004;0.045649;0.04541;0.047083;
RD[1];0.043498;0.042781;0.04302;0.044454;0.042303;0.043737000000000005;0.044215000000000004;0.041825;0.043498;0.04302;0.040391;0.044215000000000004;0.041347;0.043737000000000005;0.042542;0.043498;0.042303;0.044215000000000004;0.044454;0.043259;0.044215000000000004;0.041825;0.044693000000000004;0.042542;0.042781;0.042542;0.040869;0.043976;0.042542;0.043737000000000005;0.044693000000000004;0.043259;0.042542;0.040869;0.043737000000000005;0.042064000000000004;0.043737000000000005;0.04302;0.043498;0.043976;0.042542;0.043737000000000005;0.044454;0.042064000000000004;0.043259;0.041347;0.042781;0.041347;0.044215000000000004;0.041825;0.046127;0.042542;0.042542;0.042542;0.070744;0.10563800000000001;0.114959;0.120217;0.119022;0.119739;0.11950000000000001;0.12045600000000001;0.119978;0.119739;0.12260700000000001;0.120934;0.12189;0.12045600000000001;0.124041;0.12260700000000001;0.123085;0.120934;0.12165100000000001;0.12045600000000001;0.123085;0.123324;0.12189;0.123085;0.123085;0.120934;0.12260700000000001;0.121412;0.122368;0.122129;0.122129;0.12284600000000001;0.12284600000000001;0.12189;0.12260700000000001;0.122368;0.121412;0.12165100000000001;0.125475;0.12189;0.12499700000000001;0.12189;0.12499700000000001;0.123563;0.12189;0.123324;0.123324;0.12475800000000001;0.123324;0.125475;0.12428;0.125714;0.124519;0.123085;0.125475;0.12260700000000001;0.12499700000000001;0.12380200000000001;0.124519;0.12499700000000001;0.123324;0.12475800000000001;0.123085;0.12475800000000001;0.124519;0.12523600000000001;0.12499700000000001;0.122368;0.12499700000000001;0.12260700000000001;0.125953;0.123324;0.122368;0.12380200000000001;0.12380200000000001;0.124519;0.125953;0.12475800000000001;0.12475800000000001;0.123563;0.12475800000000001;0.123563;0.124519;0.123563;0.124519;0.12260700000000001;0.125714;0.125953;0.123563;0.126909;0.12499700000000001;0.124041;0.125475;0.125714;0.125714;0.12380200000000001;0.125953;0.12284600000000001;0.12643100000000002;0.12189;0.08627900000000001;0.06692000000000001;0.059272000000000005;0.056643;0.054731;0.053297000000000004;0.050907;0.050668000000000005;0.047561;0.048756;0.049234;0.048278;0.050429;0.048278;0.049712;0.047322;0.048517000000000005;0.046605;0.046366000000000004;0.046844000000000004;0.048517000000000005;0.0478;0.045649;0.049234;0.045888;0.047322;0.048517000000000005;0.04541;0.048039;0.045888;0.047561;0.044932;0.046366000000000004;0.045171;0.04541;0.048039;0.047083;0.046366000000000004;0.045171;0.045888;0.047322;0.042781;0.045888;0.045171;0.045171;0.044693000000000004;
RD[2];0.043498;0.043498;0.042542;0.04541;0.042303;0.044693000000000004;0.043498;0.043976;0.04063;0.044215000000000004;0.042781;0.042542;0.042781;0.04302;0.042542;0.041825;0.042064000000000004;0.042064000000000004;0.042542;0.043498;0.042781;0.045171;0.043976;0.044932;0.043259;0.042303;0.043498;0.042781;0.041825;0.043498;0.042781;0.04302;0.044693000000000004;0.044932;0.043498;0.044215000000000004;0.042542;0.044215000000000004;0.042781;0.041825;0.043737000000000005;0.043498;0.043737000000000005;0.043498;0.04302;0.043498;0.044454;0.042542;0.044215000000000004;0.044454;0.042542;0.044693000000000004;0.044454;0.043737000000000005;0.070744;0.10444300000000001;0.115676;0.117588;0.119261;0.119022;0.12189;0.120217;0.118783;0.12165100000000001;0.121173;0.12189;0.121173;0.122129;0.122368;0.12045600000000001;0.122129;0.124041;0.122368;0.12284600000000001;0.12380200000000001;0.122129;0.123324;0.122129;0.123324;0.124519;0.121412;0.124041;0.12380200000000001;0.12284600000000001;0.12380200000000001;0.12284600000000001;0.12189;0.122129;0.12475800000000001;0.122129;0.12260700000000001;0.124519;0.123085;0.124041;0.123563;0.123563;0.125475;0.12284600000000001;0.123085;0.123085;0.123563;0.12475800000000001;0.12499700000000001;0.123324;0.126192;0.123085;0.12284600000000001;0.12260700000000001;0.121412;0.123085;0.121173;0.125475;0.12284600000000001;0.12428;0.12069500000000001;0.124041;0.12428;0.123563;0.12284600000000001;0.12260700000000001;0.12523600000000001;0.12284600000000001;0.123085;0.12380200000000001;0.124519;0.12643100000000002;0.12260700000000001;0.122368;0.123085;0.122368;0.12380200000000001;0.122368;0.12475800000000001;0.12380200000000001;0.12475800000000001;0.12260700000000001;0.12380200000000001;0.123563;0.123324;0.12284600000000001;0.122129;0.12475800000000001;0.12523600000000001;0.123085;0.12667;0.123085;0.125475;0.12260700000000001;0.125953;0.12284600000000001;0.12380200000000001;0.123324;0.12643100000000002;0.123085;0.085562;0.066442;0.059511;0.055448000000000004;0.053058;0.052819000000000005;0.053536;0.048756;0.051385;0.047561;0.048517000000000005;0.048278;0.047322;0.050429;0.048995000000000004;0.049951;0.047561;0.048756;0.046844000000000004;0.046127;0.046127;0.046127;0.046605;0.046366000000000004;0.046605;0.047561;0.047561;0.0478;0.04541;0.044932;0.046127;0.044932;0.046366000000000004;0.046127;0.046127;0.044693000000000004;0.047083;0.044693000000000004;0.044693000000000004;0.04302;0.045649;0.046127;0.047083;0.045649;0.046127;0.046366000000000004;
RD[3];0.043498;0.043976;0.043259;0.044215000000000004;0.04302;0.042303;0.043498;0.044215000000000004;0.043976;0.043259;0.04302;0.044932;0.043737000000000005;0.042781;0.041108;0.043498;0.04063;0.042781;0.044693000000000004;0.042781;0.042303;0.042303;0.039913000000000004;0.043976;0.041586000000000005;0.043259;0.041586000000000005;0.042542;0.042064000000000004;0.045171;0.041825;0.043498;0.040869;0.04302;0.044693000000000004;0.042303;0.044215000000000004;0.043259;0.044693000000000004;0.043498;0.042303;0.041825;0.042303;0.042064000000000004;0.044454;0.044215000000000004;0.041347;0.043498;0.043976;0.041586000000000005;0.043498;0.04302;0.044215000000000004;0.043976;0.0717;0.107072;0.11711;0.11854400000000001;0.11711;0.121173;0.119022;0.119739;0.12189;0.123324;0.121412;0.123324;0.119261;0.12284600000000001;0.122129;0.12069500000000001;0.121173;0.12045600000000001;0.123085;0.123563;0.120934;0.12284600000000001;0.12260700000000001;0.121173;0.122368;0.122368;0.12284600000000001;0.12260700000000001;0.12475800000000001;0.12189;0.123085;0.12260700000000001;0.122368;0.123324;0.12284600000000001;0.12428;0.122129;0.12165100000000001;0.125953;0.122129;0.124041;0.124519;0.12260700000000001;0.124041;0.126192;0.122368;0.12499700000000001;0.12475800000000001;0.123324;0.123324;0.123324;0.123085;0.123563;0.124041;0.124519;0.12380200000000001;0.124519;0.12380200000000001;0.12475800000000001;0.123085;0.123324;0.123563;0.121173;0.123563;0.12523600000000001;0.127148;0.124041;0.123563;0.12523600000000001;0.12380200000000001;0.12428;0.12428;0.12380200000000001;0.122368;0.123324;0.124041;0.124041;0.12499700000000001;0.12284600000000001;0.125475;0.12499700000000001;0.12380200000000001;0.125475;0.12380200000000001;0.12428;0.12284600000000001;0.123563;0.12428;0.12165100000000001;0.12428;0.124041;0.123324;0.124519;0.124041;0.124041;0.12428;0.12428;0.124041;0.124519;0.122368;0.08747400000000001;0.06596400000000001;0.061184;0.053058;0.055687;0.053058;0.048995000000000004;0.053297000000000004;0.047561;0.052102;0.046605;0.052102;0.044932;0.050429;0.049951;0.043259;0.05258;0.043259;0.049473;0.046366000000000004;0.046366000000000004;0.048995000000000004;0.043259;0.049473;0.044454;0.046127;0.047322;0.047322;0.047083;0.04541;0.049234;0.044932;0.047083;0.045649;0.045888;0.047561;0.04541;0.048517000000000005;0.046844000000000004;0.045171;0.046844000000000004;0.045649;0.046127;0.043498;0.048039;0.044932;
RD[4];0.042781;0.042542;0.04302;0.041347;0.042781;0.042542;0.042064000000000004;0.043259;0.040152;0.043259;0.04302;0.042303;0.042303;0.041825;0.041586000000000005;0.04063;0.042542;0.041347;0.042303;0.043498;0.044454;0.043498;0.043976;0.041586000000000005;0.042064000000000004;0.042064000000000004;0.043259;0.040152;0.046366000000000004;0.040152;0.044215000000000004;0.039674;0.042064000000000004;0.044693000000000004;0.04063;0.043259;0.041586000000000005;0.042064000000000004;0.043737000000000005;0.042781;0.039913000000000004;0.043259;0.042542;0.042781;0.04063;0.04541;0.042781;0.043498;0.042303;0.039196;0.048278;0.034894;0.048517000000000005;0.038718;0.072178;0.10516;0.112808;0.11950000000000001;0.11711;0.120934;0.117827;0.120934;0.119978;0.118783;0.12260700000000001;0.120934;0.119739;0.122368;0.120217;0.121412;0.12165100000000001;0.12045600000000001;0.122368;0.12045600000000001;0.12523600000000001;0.121412;0.121412;0.12284600000000001;0.12165100000000001;0.121173;0.12045600000000001;0.123085;0.122129;0.12475800000000001;0.12284600000000001;0.121173;0.123563;0.12045600000000001;0.122129;0.123324;0.123563;0.12260700000000001;0.11950000000000001;0.124041;0.12523600000000001;0.12499700000000001;0.122368;0.12380200000000001;0.12260700000000001;0.12380200000000001;0.121412;0.122129;0.123324;0.12284600000000001;0.121412;0.12380200000000001;0.123085;0.12523600000000001;0.123085;0.12499700000000001;0.12428;0.125475;0.124041;0.12499700000000001;0.122368;0.12260700000000001;0.123085;0.123085;0.124041;0.123563;0.124519;0.125953;0.123563;0.12284600000000001;0.12284600000000001;0.12045600000000001;0.123085;0.12380200000000001;0.124041;0.12428;0.12523600000000001;0.12475800000000001;0.12523600000000001;0.123324;0.123563;0.12284600000000001;0.12189;0.12428;0.122368;0.125475;0.123324;0.125475;0.123324;0.124041;0.12499700000000001;0.124041;0.125714;0.12475800000000001;0.12475800000000001;0.123324;0.123563;0.12499700000000001;0.124041;0.12428;0.086996;0.068832;0.055926000000000003;0.055209;0.051385;0.05258;0.052102;0.050668000000000005;0.050429;0.048995000000000004;0.049234;0.049951;0.048995000000000004;0.049951;0.046366000000000004;0.047561;0.046366000000000004;0.049234;0.0478;0.04541;0.048039;0.04541;0.046844000000000004;0.047083;0.044932;0.045888;0.047322;0.045888;0.046844000000000004;0.047322;0.043737000000000005;0.0478;0.046605;0.045649;0.044932;0.044932;0.045171;0.047561;0.046127;0.044932;0.047322;0.044215000000000004;0.045649;0.046844000000000004;0.042781;0.045888;
RD[5];0.041108;0.04302;0.042542;0.042542;0.042064000000000004;0.041586000000000005;0.04302;0.042781;0.044693000000000004;0.040869;0.043737000000000005;0.043737000000000005;0.042303;0.043737000000000005;0.04302;0.043259;0.043259;0.041825;0.043737000000000005;0.042303;0.043498;0.044454;0.044454;0.042542;0.043498;0.041825;0.042781;0.044454;0.041586000000000005;0.043498;0.041586000000000005;0.04302;0.04302;0.04063;0.042542;0.041586000000000005;0.042064000000000004;0.040391;0.04541;0.041347;0.04302;0.043976;0.043498;0.04302;0.043737000000000005;0.042542;0.043737000000000005;0.042542;0.043976;0.043498;0.042064000000000004;0.04302;0.043737000000000005;0.041347;0.070983;0.104921;0.115915;0.118066;0.117588;0.12069500000000001;0.12069500000000001;0.12045600000000001;0.120217;0.11950000000000001;0.121173;0.119978;0.123324;0.122129;0.12284600000000001;0.120217;0.121173;0.12189;0.123085;0.12165100000000001;0.12165100000000001;0.122129;0.120217;0.122368;0.12189;0.12284600000000001;0.122129;0.12380200000000001;0.12284600000000001;0.122368;0.12165100000000001;0.124041;0.120934;0.12428;0.122129;0.12260700000000001;0.123324;0.121173;0.123324;0.123085;0.124519;0.123085;0.122368;0.123085;0.12284600000000001;0.12380200000000001;0.12284600000000001;0.12499700000000001;0.12428;0.12284600000000001;0.12380200000000001;0.123085;0.12380200000000001;0.125475;0.123563;0.12284600000000001;0.122368;0.12189;0.124519;0.122129;0.12499700000000001;0.12499700000000001;0.124041;0.12428;0.124041;0.12428;0.12499700000000001;0.124041;0.12189;0.123085;0.125475;0.122129;0.12499700000000001;0.12380200000000001;0.12475800000000001;0.123563;0.12523600000000001;0.12428;0.122129;0.12499700000000001;0.12189;0.12475800000000001;0.121173;0.12284600000000001;0.122368;0.12165100000000001;0.125714;0.122129;0.12284600000000001;0.123563;0.12260700000000001;0.122368;0.12523600000000001;0.12189;0.12260700000000001;0.12523600000000001;0.123563;0.123563;0.12499700000000001;0.122129;0.086996;0.06596400000000001;0.060467;0.054970000000000005;0.053297000000000004;0.05258;0.051146000000000004;0.051146000000000004;0.049712;0.048517000000000005;0.0478;0.048278;0.049951;0.048039;0.0478;0.048278;0.049951;0.046605;0.046844000000000004;0.046844000000000004;0.048278;0.047561;0.046605;0.049712;0.046366000000000004;0.048278;0.044932;0.046605;0.044693000000000004;0.046605;0.047561;0.04541;0.044932;0.047083;0.046366000000000004;0.044932;0.046605;0.046605;0.044932;0.046605;0.044932;0.046605;0.044932;0.044693000000000004;0.046127;0.045171;
RD[6];0.043498;0.04302;0.042781;0.042542;0.043498;0.041108;0.042781;0.040869;0.043976;0.044454;0.043976;0.042781;0.04302;0.043976;0.043976;0.04541;0.042064000000000004;0.045888;0.041108;0.047561;0.039674;0.044454;0.040391;0.045649;0.042781;0.041347;0.047322;0.038718;0.043259;0.041347;0.042542;0.046127;0.04063;0.047083;0.041108;0.041586000000000005;0.045171;0.039913000000000004;0.046605;0.041108;0.044693000000000004;0.042781;0.044454;0.045171;0.042064000000000004;0.044932;0.04302;0.042064000000000004;0.041825;0.044454;0.043498;0.042542;0.043737000000000005;0.042303;0.069788;0.104204;0.116632;0.118066;0.118783;0.12165100000000001;0.120217;0.12260700000000001;0.119261;0.121173;0.119261;0.12284600000000001;0.121412;0.12165100000000001;0.123324;0.123085;0.119978;0.123324;0.121173;0.119978;0.120217;0.12260700000000001;0.12260700000000001;0.124519;0.120934;0.122129;0.12380200000000001;0.122368;0.12260700000000001;0.123563;0.12189;0.125475;0.123085;0.123563;0.124519;0.123085;0.122129;0.12475800000000001;0.12189;0.12475800000000001;0.124519;0.123085;0.124519;0.12380200000000001;0.124041;0.12260700000000001;0.12380200000000001;0.12260700000000001;0.123563;0.124041;0.12499700000000001;0.12428;0.124519;0.12428;0.12260700000000001;0.12523600000000001;0.123324;0.123085;0.124041;0.12475800000000001;0.12260700000000001;0.12475800000000001;0.12499700000000001;0.12380200000000001;0.124519;0.12523600000000001;0.123324;0.124519;0.124041;0.12475800000000001;0.125714;0.12284600000000001;0.12523600000000001;0.12428;0.12428;0.124041;0.122129;0.123324;0.12499700000000001;0.12380200000000001;0.123324;0.124519;0.12499700000000001;0.123085;0.123324;0.123324;0.124519;0.12284600000000001;0.125953;0.125475;0.12475800000000001;0.12284600000000001;0.125714;0.12069500000000001;0.12380200000000001;0.123085;0.124041;0.125475;0.12643100000000002;0.12260700000000001;0.087713;0.065008;0.059750000000000004;0.054970000000000005;0.053536;0.051863;0.051624;0.05019;0.049234;0.048995000000000004;0.049473;0.048039;0.048995000000000004;0.049234;0.048278;0.048995000000000004;0.048039;0.048995000000000004;0.048039;0.045888;0.0478;0.04541;0.045888;0.046844000000000004;0.047083;0.046844000000000004;0.046605;0.045649;0.04541;0.047083;0.047561;0.045888;0.047561;0.047083;0.047561;0.044215000000000004;0.046127;0.044693000000000004;0.045649;0.045888;0.04541;0.045888;0.047083;0.045888;0.04541;0.045171;
RD[7];0.045649;0.043259;0.04302;0.045888;0.043737000000000005;0.044454;0.044932;0.044693000000000004;0.045171;0.042781;0.043737000000000005;0.042064000000000004;0.044215000000000004;0.044454;0.044215000000000004;0.044215000000000004;0.043259;0.045888;0.042781;0.044215000000000004;0.042303;0.04302;0.044215000000000004;0.043498;0.044215000000000004;0.044454;0.044454;0.044215000000000004;0.043498;0.043976;0.043259;0.044932;0.043259;0.043976;0.042064000000000004;0.043737000000000005;0.043737000000000005;0.042064000000000004;0.043976;0.042303;0.043737000000000005;0.044215000000000004;0.044215000000000004;0.042542;0.044215000000000004;0.045649;0.043737000000000005;0.043259;0.043976;0.045171;0.043976;0.046127;0.044215000000000004;0.042303;0.072178;0.106355;0.11639300000000001;0.11854400000000001;0.12045600000000001;0.12260700000000001;0.122129;0.123563;0.119261;0.124519;0.122129;0.121173;0.12165100000000001;0.12260700000000001;0.122129;0.12643100000000002;0.124519;0.122368;0.123563;0.12260700000000001;0.124041;0.12475800000000001;0.123563;0.12475800000000001;0.12284600000000001;0.12189;0.123085;0.124519;0.122368;0.123563;0.12428;0.124041;0.125475;0.124041;0.12428;0.126192;0.12165100000000001;0.12475800000000001;0.123324;0.12475800000000001;0.125475;0.12284600000000001;0.12523600000000001;0.12475800000000001;0.124041;0.12380200000000001;0.12499700000000001;0.123563;0.124519;0.124041;0.125953;0.125953;0.12428;0.125953;0.12475800000000001;0.123563;0.124041;0.12475800000000001;0.123563;0.12428;0.127148;0.12284600000000001;0.12643100000000002;0.123563;0.12380200000000001;0.124041;0.124041;0.12643100000000002;0.125714;0.124519;0.125475;0.125714;0.123563;0.12499700000000001;0.12428;0.12380200000000001;0.125714;0.124519;0.124041;0.124519;0.125953;0.12643100000000002;0.125953;0.12475800000000001;0.124041;0.123563;0.123324;0.12475800000000001;0.124519;0.125714;0.12499700000000001;0.123563;0.126192;0.124519;0.12667;0.126192;0.125475;0.12428;0.125475;0.123563;0.08938600000000001;0.067876;0.061423000000000005;0.055687;0.05736;0.05258;0.055209;0.05258;0.051385;0.05019;0.049473;0.049234;0.048756;0.048517000000000005;0.05019;0.05019;0.049473;0.047561;0.048039;0.046605;0.048278;0.048517000000000005;0.047083;0.048278;0.047322;0.049234;0.047561;0.048756;0.047561;0.049712;0.046127;0.048039;0.048995000000000004;0.045649;0.048039;0.047322;0.047322;0.047083;0.047083;0.047561;0.047561;0.046605;0.048756;0.046366000000000004;0.045888;0.045171;
RD[8];0.044454;0.042303;0.043737000000000005;0.042064000000000004;0.043737000000000005;0.043737000000000005;0.04541;0.045171;0.042542;0.044693000000000004;0.043498;0.046366000000000004;0.04302;0.043498;0.043259;0.04302;0.044693000000000004;0.044693000000000004;0.044454;0.043498;0.044932;0.043737000000000005;0.044932;0.043737000000000005;0.044932;0.044693000000000004;0.044215000000000004;0.043498;0.043737000000000005;0.043259;0.044693000000000004;0.04302;0.044215000000000004;0.044215000000000004;0.043498;0.044693000000000004;0.044693000000000004;0.044215000000000004;0.045649;0.044215000000000004;0.043259;0.045888;0.043976;0.04302;0.045649;0.043737000000000005;0.043976;0.043259;0.044454;0.044454;0.04302;0.045171;0.043259;0.044454;0.06811500000000001;0.10874500000000001;0.116632;0.12045600000000001;0.120934;0.119978;0.122368;0.12380200000000001;0.122368;0.122368;0.12189;0.12165100000000001;0.12260700000000001;0.12260700000000001;0.122129;0.12475800000000001;0.123563;0.12475800000000001;0.12284600000000001;0.123324;0.124519;0.12475800000000001;0.12475800000000001;0.123324;0.125475;0.12499700000000001;0.124519;0.124519;0.123085;0.124041;0.124041;0.12428;0.123085;0.124041;0.124041;0.12499700000000001;0.124519;0.12475800000000001;0.123563;0.123324;0.125714;0.125953;0.12428;0.12667;0.124519;0.124519;0.124519;0.12523600000000001;0.124519;0.12523600000000001;0.123324;0.12475800000000001;0.12428;0.12475800000000001;0.12523600000000001;0.12475800000000001;0.125475;0.12499700000000001;0.12428;0.12643100000000002;0.12475800000000001;0.126909;0.12643100000000002;0.12428;0.12643100000000002;0.12428;0.126192;0.12523600000000001;0.125714;0.12428;0.124519;0.125714;0.125714;0.126909;0.125475;0.125475;0.124519;0.12499700000000001;0.125714;0.12284600000000001;0.12667;0.12499700000000001;0.12523600000000001;0.12523600000000001;0.12499700000000001;0.12499700000000001;0.126192;0.125714;0.12475800000000001;0.12667;0.123324;0.125475;0.12523600000000001;0.125953;0.125714;0.123563;0.12475800000000001;0.12667;0.12523600000000001;0.124041;0.086757;0.06907100000000001;0.059272000000000005;0.058555;0.054970000000000005;0.054253;0.054492;0.05019;0.052341;0.05019;0.050668000000000005;0.05019;0.049712;0.049712;0.048995000000000004;0.049473;0.047083;0.049712;0.048995000000000004;0.049712;0.048278;0.048278;0.046127;0.050907;0.045171;0.05019;0.047083;0.046366000000000004;0.048039;0.047322;0.045171;0.049712;0.045888;0.045888;0.049234;0.04541;0.048995000000000004;0.049473;0.045171;0.047561;0.045649;0.045888;0.046605;0.047561;0.048756;0.045888;
